672, 100000.0
593, 88598.96051808346
27, 87101.19059619508
318, 83313.02640454599
1385, 82881.8506821018
28, 81989.1647296884
129, 80573.19392833907
491, 77651.00545659635
487, 74773.36160126247
533, 74741.31177564572
144, 73078.40286957788
298, 72573.74463360578
708, 71356.13420453266
128, 69468.1588839378
532, 68461.00736506828
320, 67236.30788588399
1320, 66639.32266385018
1202, 66510.17752534077
1041, 65295.39788717865
1203, 65104.879763147175
1042, 65101.86384151878
1167, 64847.796907161544
551, 64636.936026590185
1243, 64336.70734302621
303, 64083.12811429557
1229, 63941.32373214615
1361, 63426.49425319173
130, 63137.06895474998
373, 62734.065434208016
1365, 62728.060549283415
764, 62515.86929620352
1345, 62176.22424674809
991, 61573.02208553165
523, 61528.8673887368
143, 61081.343512052845
111, 61076.16372328183
230, 60731.69689607552
229, 60713.12045947973
404, 60284.01099695484
1210, 60080.207418930244
841, 60052.76173515096
957, 60006.57809599741
675, 59730.43441461894
372, 59609.999793470866
724, 59533.929843623555
507, 59452.676573854966
842, 59311.283007989354
508, 59249.55587564139
529, 59076.71587205957
818, 58790.83797942332
681, 58605.538987592154
1006, 58496.112749187814
1341, 58462.95166675383
683, 58311.27806762982
725, 58157.30530956805
682, 58078.89565386358
1186, 57979.76149392018
635, 57924.704028928565
634, 57924.704028928565
976, 57923.6481022652
506, 57905.398565887386
975, 57894.94921630204
685, 57877.73745135899
1092, 57824.60310811844
1187, 57789.71924054594
1266, 57716.2833759791
84, 57632.27464736189
321, 57626.94587441809
684, 57453.40165389211
333, 57432.6126582973
1391, 57218.902761218014
25, 57112.65181110167
24, 56874.04029768595
1253, 56761.44697537001
308, 56748.40600313068
23, 56704.99606737659
77, 56600.811393015996
879, 56598.29081251471
878, 56598.29081251471
1393, 56560.51348259423
505, 56538.540931391886
400, 56441.90613582935
646, 56304.5409394961
1219, 56102.662669094425
1218, 56085.32576161127
1157, 56054.83250685651
1338, 56046.801996041206
1337, 56046.801996041206
914, 56017.78145146127
1139, 55926.33143614992
954, 55887.453306646006
1140, 55850.18362734848
521, 55763.65944388297
1141, 55698.70890136268
1138, 55698.70890136268
962, 55644.03120225061
964, 55622.44698043491
963, 55622.44698043491
1267, 55618.33615646471
965, 55615.26097100737
283, 55560.603145740584
1126, 55512.8588085963
1265, 55480.742423333926
912, 55451.58592870205
608, 55175.9710876377
550, 55113.26869479144
918, 55033.32853844482
805, 55029.12326818032
625, 54985.98279990584
388, 54955.39410014068
162, 54911.940113486446
1394, 54717.614524942335
1364, 54673.691884165964
785, 54615.502948163194
387, 54611.47725002147
804, 54591.285123855996
973, 54557.74349056683
687, 54354.704512373566
389, 54352.682292405676
882, 54271.26509620589
1230, 54243.638156605586
1336, 54111.570021013686
686, 53958.47068874739
688, 53874.574079271086
895, 53775.68033155658
284, 53736.98413722104
33, 53735.475742554554
443, 53542.491869742604
913, 53338.87497056723
524, 53227.169484123486
1352, 53209.487775044996
1268, 52593.038544339666
339, 52552.721277696
1392, 52537.347737291486
1296, 52426.10539226765
34, 52425.76703054166
1118, 52392.14593187474
595, 52392.14593187474
626, 52319.752136384115
917, 52240.666301578065
933, 52137.19193293788
92, 52103.393354148764
1251, 52031.05323239904
1269, 52023.415260092464
163, 51930.16229099691
91, 51818.67798807055
1211, 51800.369522675835
1297, 51791.50394791024
953, 51611.55121607236
297, 51611.55121607236
881, 51232.894411134446
351, 51060.30093795368
1242, 51011.58737960926
1241, 51011.58737960926
117, 50952.176855948324
951, 50760.8961771497
1007, 50394.66621666864
383, 50387.59887927602
784, 50275.739234916815
1128, 50224.33508968319
1158, 50095.17345417723
32, 50058.785962725495
1351, 49928.610754226116
910, 49880.86667217721
316, 49544.04355798105
774, 49429.525455506526
773, 49429.525455506526
1093, 49409.328725901185
510, 49409.328725901185
660, 49388.918953865854
96, 49359.26255703015
1146, 49256.88905866002
1130, 49234.60473110026
821, 49123.63277474616
1380, 49122.49568394951
658, 49079.78072569202
1311, 48907.04153504747
1298, 48824.678895902915
511, 48783.56384873416
1196, 48747.72022810987
1197, 48709.875290460026
1386, 48597.97428570808
1387, 48549.91298523377
586, 48530.00193017062
1195, 48318.45404215681
1198, 48314.88655826266
1374, 48306.03565531307
1116, 48087.11582131306
1340, 48080.811643446235
282, 47939.180713234215
766, 47883.16856272052
1096, 47863.616924140086
599, 47719.60578110608
883, 47656.953801626965
587, 47583.271040900734
995, 47385.83538571301
